Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Joe Boyle","TBR",0,1,0,1,1,4.1,6.230769687855771,6.230769687855771,2.076923229285257,0.23076923076923078,0.17857143,0.357142857,0.166666666,97.99880083869485,10.384616146426286,7.8154708285715655,6.881361689370079,5.756685170678464,-0.05671399967004532,"Joe Boyle",29608,671212
"Bryce Elder","ATL",0,0,0,1,1,4.2,5.7857150739554095,5.7857150739554095,1.9285716913184698,0.21428571428571427,0.89285714,0.266666666,0.111111111,93.01055145263672,3.8571433826369397,4.22870741621352,6.617625621873569,6.443969133527334,-0.05722685920044994,"Bryce Elder",27779,693821
"Calvin Faucher","MIA",0,1,0,2,0,1.1,13.50000352040025,20.250005280600377,0,0.5,0.2,0,0,96.95766703287761,20.250005280600377,16.57489741931962,6.9390547040852475,9.986456289955152,-0.0578895693436801,"Calvin Faucher",20116,676534
"Kyle Leahy","STL",1,1,0,2,2,9,6,6,1,0.2692307692307692,0.80882353,0.481481481,0.111111111,93.80042375837054,4,8.209781257025774,5.633498170640734,5.543454077839852,-0.05877747758179469,"Kyle Leahy",24763,681517
"Ryne Stanek","STL",0,0,0,3,0,2.2,13.50000352040025,3.3750008801000626,3.3750008801000626,0.3333333333333333,0.38461538,0.285714285,0.25,97.91846466064453,10.125002640300188,2.2817869414893686,6.189054508507456,3.345654294498414,-0.05918669059592083,"Ryne Stanek",15947,592773
"Mitch Farris","LAA",0,0,0,2,0,3,6,6,3,0.25,1,0.222222222,0.2,91.81862548828126,3,7.210383865764119,8.18905372619629,6.113054312268893,-0.05968403513772724,"Mitch Farris",33628,815083
"J.P. France","HOU",0,0,0,1,0,2.2,10.125002413988689,13.500003218651585,0,0.42857142857142855,0.5,0.714285714,0,92.20601109095982,13.500003218651585,7.091211096446674,6.5640545308591856,7.5798550367775706,-0.06022073673396655,"J.P. France",21212,641585
"Andrés Muñoz","SEA",1,0,1,3,0,3,9,12,0,0.14285714285714285,1,0.285714285,0,99.3517724609375,0,5.912454614995051,5.18905372619629,6.99492086172104,-0.061794996784884426,"Andres Munoz",20373,662253
"Justin Lawrence","PIT",0,1,0,3,0,2.2,13.50000352040025,3.3750008801000626,3.3750008801000626,0.5,0.17857143,0.363636363,0.333333333,94.17159652709961,16.875004400500313,11.189348212159937,6.189054508507456,2.8377540301867628,-0.06272299770840717,"Justin Lawrence",17639,664875
"Peyton Pallette","CLE",0,1,0,3,0,4,13.5,4.5,2.25,0.4444444444444444,0.75757576,0.4,0.333333333,95.55855051676433,6.75,8.551744016549293,5.689053726196289,3.454853989928961,-0.06354863100122846,"Peyton Pallette",31865,688883
"Jameson Taillon","CHC",0,1,0,1,1,6,6,0,3,0.2631578947368421,0.71428571,0.238095238,0.153846153,91.57713099888393,4.5,4.472225625328355,6.18905372619629,4.7902544880906754,-0.06768924024250447,"Jameson Taillon",11674,592791
"Anthony Banda","MIN",0,0,0,3,0,3.1,8.100003234745364,2.7000010782484547,2.7000010782484547,0.5,0.26315789,0.428571428,0.333333333,94.73118356557993,18.900007547739182,11.788594057439944,6.189054924250128,3.508014170052706,-0.06872534328594324,"Anthony Banda",14706,607455
"Cade Povich","BAL",0,0,0,1,0,5.2,3.176470944625736,4.764706416938604,1.588235472312868,0.16666666666666666,0.89285714,0.47368421,0.142857142,91.79335145692568,3.176470944625736,5.617217620361012,6.365524670822025,5.74448974140936,-0.07653710909139985,"Cade Povich",30055,700249
"Kyle Finnegan","DET",0,0,0,2,0,2,0,13.5,0,0,1,0.666666666,0,96.04877068014706,0,6.726581980713573,7.689053726196289,7.689053726196289,-0.0765884866159698,"Kyle Finnegan",15009,640448
"Germán Márquez","SDP",2,0,0,2,2,10,8.1,2.7,2.7,0.2692307692307692,1,0.413793103,0.25,94.56538159919508,3.6,5.39428511156358,6.189053726196289,3.914334148168564,-0.07808973140426076,"German Marquez",15038,608566
